order_id,product_id,add_to_cart_order,reordered
1262859,43768,7,1
965050,40396,1,1
2177464,13334,3,1
1782060,13866,6,0
794906,13176,7,1
411859,5373,16,0
2904043,11136,28,0
1840301,21019,11,1
3070651,2132,16,0
1282681,42445,15,1
3321909,13147,8,0
1934035,12409,18,1
3039566,48193,5,0
2502588,43409,5,1
1446933,2846,5,0
939440,47890,8,0
1838815,10063,9,0
3389346,39409,5,1
178058,23836,2,1
194509,42791,1,1
320267,49519,4,1
3037517,35939,12,0
1541277,47792,8,1
3113552,22724,21,0
3392192,42265,7,1
2414498,14645,11,1
39826,22556,2,1
1279235,35951,3,1
2499362,44422,4,1
2769595,5517,30,0
421450,36254,17,0
2016893,27714,7,0
3379594,32035,9,0
2593407,14347,14,1
736997,4302,12,0
920005,13176,3,1
1842017,12941,11,0
1316081,22963,12,1
3010089,39408,4,1
1562943,9390,15,1
1698520,22882,7,1
2968148,49617,7,1
2640294,48335,6,1
2904199,35921,9,0
1176968,39024,9,1
23874,3358,2,1
2401395,28928,15,1
550796,5077,21,1
2155162,3664,2,1
1262243,49621,19,1
3144309,41149,10,0
2650189,21543,16,1
2076349,46979,14,1
2054476,7185,10,1
1494814,45739,12,0
1444512,17974,14,0
2037698,2228,16,0
290993,47601,3,1
3403783,20344,23,1
2361061,27845,2,0
118258,7503,9,0
621610,47209,8,1
1542539,11005,1,0
2803165,12572,6,0
1257357,30463,4,0
703041,9839,28,1
944952,34270,21,1
2850162,40581,17,0
997898,1359,6,0
1939558,29007,10,0
1324292,47119,1,1
182651,15241,5,0
1707783,32572,8,0
1020647,9076,3,1
2417706,48595,4,0
1071527,17122,3,1
2947599,21137,3,1
300213,45957,11,0
1570353,24177,14,0
212061,459,6,0
540859,25965,25,0
831818,19895,11,0
102936,46979,3,1
3095836,24834,8,0
2869331,2237,25,1
3144446,12719,2,1
1151992,26040,2,0
1865779,21616,7,1
2312276,48894,3,0
2431102,9409,1,1
1686347,25146,12,1
2131147,31553,23,0
3327058,47792,4,1
1585589,24184,6,1
40791,17600,9,1
1861301,26209,2,1
909960,17794,10,0
3114371,39475,3,1
2682352,16759,2,0
3348088,35704,3,0
2860907,33043,15,1
1556085,45013,1,1
1331698,37966,2,1
668152,46271,4,0
2208901,25633,23,1
2436448,47766,5,1
3146607,18908,10,0
371700,41610,18,0
790449,28427,7,1
3067975,4562,6,0
3295225,47766,12,1
3327365,14309,3,0
3416300,39236,2,1
2762441,31433,5,1
2422398,47209,10,1
1286242,23712,1,1
1467060,13838,12,1
1004873,13984,16,1
639948,1194,2,1
440457,17794,8,0
267292,40571,32,0
225853,37646,2,1
1148314,48726,1,0
2159250,30795,29,1
1314189,40516,8,0
2325062,1013,9,1
2057960,39322,6,0
1521073,23198,5,1
3083440,21019,6,1
1702614,16797,3,1
2501341,28221,2,1
1972715,5134,16,1
2267133,14992,4,0
2485523,7916,8,0
3041966,47516,4,0
1138337,35198,5,1
1937990,10504,3,0
2705321,2579,14,0
2854529,12069,17,0
1178607,9825,2,1
884606,25630,7,0
465678,19348,4,1
2009747,47766,34,1
1753041,36690,9,1
1301200,28204,2,1
290794,33401,17,1
1649441,30517,4,1
3203998,30489,5,1
603283,24852,6,1
1902454,9387,3,1
1469671,5531,3,1
1543610,39275,8,1
1002539,42659,2,1
993949,352,2,0
172239,37131,2,1
639026,34023,19,0
3203230,20511,23,0
2632703,24688,10,0
1232013,8390,4,0
2819489,9020,12,0
3198622,21903,3,1
443626,36082,12,1
382075,44359,14,0
865623,45007,15,0
2443909,44422,2,0
392276,38926,20,0
3199152,46667,9,1
2935791,35383,6,1
2459986,12754,5,0
2004826,33125,2,1
1672578,6052,4,0
2030452,24952,9,0
3093128,35887,13,1
3097371,31717,5,1
1827391,34497,5,0
2939154,28204,3,1
2475426,28171,8,1
3069031,2480,18,0
110111,46979,1,1
276809,44882,11,0
73840,41844,13,1
763664,10668,6,1
2809980,32650,6,1
2441635,19505,1,1
1269811,8912,9,1
861220,4422,2,1
3245820,13176,8,1
967966,26209,10,1
3121961,20114,12,0
1596459,30489,17,1
1071675,32465,12,1
509959,8478,26,0
375992,15872,4,1
2276912,35264,1,1
1783935,44987,6,1
2023821,42768,3,1
1455740,45504,10,1
3210346,16349,1,1
2437596,45007,4,1
2449924,22087,29,0
2414557,21137,9,0
918546,17317,2,0
2902054,21903,14,1
2264913,47209,2,1
2841388,5025,15,0
2508484,22247,44,0
3022968,39275,22,1
2346553,21288,5,1
1631918,47621,11,0
1710788,27521,13,1
2480640,8699,3,0
558812,12157,5,0
1433696,36929,2,1
3405376,21903,4,1
1600406,12572,20,1
166816,21841,1,0
1973836,48775,17,0
84840,21479,10,1
2606489,20250,10,0
1980211,1989,17,0
551200,9839,3,1
2313545,8136,5,0
408679,24852,3,1
1193817,22115,9,1
3110090,29310,5,1
2368754,47209,6,1
1637048,19887,2,1
125123,15752,22,0
1692778,13351,4,1
1913925,46979,1,0
2621030,10364,28,0
2831673,6606,14,0
401103,21195,1,0
759888,27323,13,0
1666655,8277,5,1
2054138,48458,1,1
2230785,23492,10,0
831138,3843,10,0
521615,28842,12,0
1556883,42380,2,1
2720125,41195,4,0
1909837,2588,11,1
1935524,282,1,1
793440,10246,2,0
328915,43643,11,0
3121159,9873,1,0
3209602,26209,3,1
785359,4605,2,1
2364261,38689,1,1
1666055,45709,14,0
250340,5876,11,0
3328703,27086,3,1
188553,43772,16,0
185985,19048,1,0
876981,20802,1,0
470881,13772,1,0
670951,1439,7,1
1512265,5618,7,0
1210382,21137,8,1
1000333,27086,8,1
745895,32478,1,1
1962436,8571,3,1
2300901,12341,2,1
2755813,37646,13,0
3062107,35286,2,1
1970953,5373,13,1
212727,42342,11,0
1264144,5782,2,1
1600091,13176,3,1
66723,24964,19,0
1700220,44329,5,0
2009159,21903,16,1
976590,23452,5,1
373865,21333,3,0
1928210,6758,11,1
3301391,32538,2,1
146170,5144,3,1
1676245,39375,5,0
2579931,41057,17,0
1677205,24964,8,1
3191025,9092,7,1
2717825,16283,6,0
417885,13176,1,0
3352188,19660,2,0
2046542,27243,10,0
568060,26620,7,1
1001586,24778,22,0
1682120,24852,2,0
1639019,43210,1,1
364650,15058,21,0
1722531,40120,3,1
310784,24184,7,1
3318678,28993,5,1
1821850,7175,4,0
3183617,43484,4,1
1927013,36735,36,0
3007006,13176,7,0
1169123,46654,3,1
1350498,20899,6,1
1558110,2966,4,1
1809065,22142,3,1
2021367,24981,4,1
2047410,16759,1,1
2539384,8412,1,0
2037518,49248,1,1
1681736,27796,9,1
3030888,27548,15,1
308113,42460,11,0
1674620,28934,13,1
1834081,38996,1,0
327171,29116,3,1
2905245,27850,5,0
933809,18725,7,0
1954328,45006,16,0
2772369,39275,7,0
340906,38371,1,1
726920,48679,9,1
3295239,49235,2,1
3210185,9534,2,1
3351073,44557,3,1
313319,19057,1,1
3023678,25256,4,0
2731217,10872,6,0
1920722,2716,5,1
3016374,40884,18,0
3253901,23192,6,1
2035970,28849,6,1
411914,13838,23,0
1854192,15153,5,1
2393913,424,12,0
2713670,17630,1,0
2286804,31338,9,1
2259955,26165,16,1
2212362,38747,16,0
1362975,42193,5,0
2877188,11461,7,1
3099901,35409,6,0
1976179,29894,23,0
323082,10912,12,1
3229330,5258,1,0
192722,24838,4,1
773275,17157,1,1
1143455,41950,25,0
1066946,21724,14,1
2965246,24852,1,1
3403386,46650,20,1
2830226,31066,4,1
1966502,43154,9,0
3022501,26312,15,0
3097803,5025,8,0
2921081,9360,13,0
2093062,24420,10,0
2477197,5077,10,0
385752,45616,10,1
2840801,12748,22,0
1850346,38159,12,0
537559,17330,3,0
2366150,12324,11,0
3296777,30623,8,0
2156149,18288,11,0
2972385,37067,2,1
2311123,43765,18,0
1834057,21386,4,1
2715002,22035,2,1
1106906,36036,2,1
481235,26342,1,0
747605,41570,18,1
2583182,33731,15,1
2237204,39275,10,0
1685886,33705,8,0
1914749,12240,9,0
2389022,24082,7,0
2666604,21938,9,1
24539,14704,4,1
2801995,43692,4,0
2015207,24852,2,1
1581003,21903,2,1
3211300,27323,5,1
1007291,41671,12,1
1134704,38720,5,1
3292940,29840,4,0
2579622,18696,7,0
2848296,11712,4,1
738006,23537,22,0
1009552,30611,9,1
1877531,43961,6,1
