order_id,product_id,add_to_cart_order,reordered
1182751,4920,15,1
1912745,27690,14,1
1564967,29370,5,0
1623039,28849,17,0
1164267,31564,7,0
2079228,25706,7,1
1314660,15727,1,1
1122410,14519,11,1
3315809,41844,8,0
1435116,37065,11,0
1542216,3529,13,1
923092,9124,6,1
1149422,12756,9,1
2611903,18840,3,1
775299,21938,12,1
3340032,13517,30,1
1577355,726,6,1
394921,6881,7,1
960040,5077,5,1
3113521,9076,9,1
868842,27576,7,1
2207154,40706,6,1
127613,17341,2,0
2661215,43662,1,1
1347648,35600,4,1
1612719,8518,10,1
1240701,4274,2,0
2178352,10749,14,1
765277,37385,8,0
2591243,37524,4,0
2152859,14258,1,1
630753,21903,5,1
3223424,13176,1,1
1013228,49247,6,1
2102055,9515,3,0
1291392,6182,6,0
2951261,25613,1,1
2871484,26351,9,1
1979777,21506,10,0
1276175,19677,5,1
1297491,35921,3,0
1926696,8424,10,1
134419,40332,10,1
1542216,5994,18,1
2440636,32578,1,1
1472124,21194,4,1
937462,16882,1,0
2845055,28204,5,1
1309715,42518,3,1
2497478,26683,2,0
1054455,21292,12,1
1064762,43093,6,1
2262492,21083,13,0
318961,41207,4,0
201157,29270,4,1
939905,45448,8,1
2367237,44867,9,0
1232999,40604,11,1
1705927,45007,12,0
1369060,5250,13,0
1213088,24852,1,1
224543,8022,12,1
814634,41437,16,1
78020,42265,10,1
1201463,37754,12,0
3236982,8277,1,1
1982496,11941,18,1
1988003,3952,1,1
1437372,48110,5,1
3207306,18918,2,0
2412638,5612,11,1
2884114,42585,11,0
667789,48634,10,1
150474,44883,3,0
2058448,42585,2,0
13892,8571,5,1
508635,29675,5,1
642190,44924,38,0
417779,13575,3,1
3081182,21137,5,0
860197,24489,14,1
1633423,20112,2,0
2710559,7693,15,0
1986649,9124,30,1
59790,29112,4,1
1127223,8694,1,1
1984123,3583,7,1
1258566,40174,7,0
1395793,34584,8,0
3050275,8193,13,1
2038499,8711,9,1
459973,13885,10,0
858924,27759,6,1
3392152,13715,5,0
117913,23763,22,1
2701119,45066,6,1
1980108,27024,12,0
1612043,23339,4,0
405660,44632,4,0
2528201,16607,13,0
769141,46720,9,0
2227839,26209,10,1
2527490,11121,24,1
2704288,5479,6,1
3190624,25886,5,1
3073032,20995,11,0
2339045,4101,4,0
2372166,21405,24,1
1520539,12644,21,1
2825233,853,8,1
1607532,25513,3,1
1008165,6341,22,0
1867418,23719,10,0
2277056,35992,6,0
2768190,1359,4,0
2708248,45200,24,0
2025937,37067,12,0
875829,15842,10,0
3245142,44961,12,0
1388050,5451,11,0
1766196,27275,1,1
3140442,45582,23,1
1668528,11182,7,1
2576551,5373,2,0
2557169,37971,2,1
192872,24852,6,0
169544,41485,5,1
2161712,20738,5,1
3410956,46654,3,1
1845020,37250,6,0
3232858,25890,3,1
3289036,23644,5,1
475829,29864,24,0
2146719,5479,11,0
3221797,46476,4,0
1418427,29439,37,0
1994,49082,5,0
2488470,27939,1,1
1010964,48364,18,0
440944,19711,2,1
1357715,5785,1,1
1503965,10132,24,0
1988931,4367,4,0
1979685,43631,1,1
1635430,47586,12,1
3101510,4883,6,0
2222313,30756,30,0
441513,46811,5,0
2584795,41844,32,0
3111667,4461,10,0
187405,20070,23,0
821117,20378,6,0
1081158,8859,6,1
1236135,49683,1,1
161355,21572,10,1
2902983,15290,17,1
819122,12759,4,1
2174109,15269,6,0
1895639,26604,17,0
1148594,47348,1,1
2893224,3125,18,1
353765,24184,12,1
306685,40516,18,1
3129013,38273,5,0
2491666,6441,8,0
3262031,39928,8,1
964093,46047,20,0
858605,30597,3,1
1926370,7469,1,1
2398419,40338,2,1
1298846,17870,7,0
706273,45970,2,0
1578633,15803,4,0
768539,7035,20,0
3076313,7500,4,0
580747,28427,11,0
2389929,5077,8,1
613102,11777,6,0
256633,7877,14,0
383194,31215,16,1
1009735,26940,22,0
1581161,38515,5,0
3013298,45788,8,0
1003055,5876,1,1
2834377,48679,5,1
700497,47209,16,1
199478,13176,2,1
1795903,39275,8,0
2679334,31651,5,1
5447,35417,15,0
2956652,23282,2,1
3067400,39468,19,0
1283521,24985,4,0
1000796,5006,6,0
2787192,37825,18,0
1665355,31040,4,1
3029583,19028,9,1
1996464,21544,15,1
177810,29471,26,0
557733,13230,19,1
3165320,24852,12,1
318543,24852,5,1
2341981,9839,6,1
2456596,8163,6,0
908461,1,3,1
1323509,46667,1,1
2590653,33651,3,0
1008866,42701,7,1
1721609,6789,6,1
1882126,42098,6,1
10542,8056,10,1
3062566,16464,12,1
222328,29071,1,1
2089898,44683,2,1
1611062,22935,16,0
819768,38456,20,1
2475747,39877,12,1
1347162,21562,14,1
2202137,12409,2,0
650520,27845,1,1
689985,46993,12,0
3133062,47766,3,1
594036,10919,9,1
1812403,18025,16,0
2438733,5141,2,1
2324739,40604,16,0
1661234,9020,4,0
1049550,19057,7,1
3112672,24764,19,0
2743250,6891,27,1
2530055,15937,8,0
2526048,21174,7,1
3153396,44636,4,0
3313623,39619,12,1
2265834,39275,11,1
3187215,44229,15,1
1202297,18362,3,0
1091486,9346,3,1
2202227,9076,11,0
345216,39845,13,0
776198,32843,3,0
1244807,30233,13,1
3299099,42359,12,0
240088,6871,14,1
2050560,9839,11,0
3329818,29621,13,0
901442,21137,5,0
1414329,5015,16,1
1432522,27695,11,1
1076467,39475,2,1
396336,6187,4,0
119952,43961,9,1
410692,44142,3,1
451771,26209,3,1
1905739,432,8,1
1320520,7898,7,0
2890636,10181,12,0
283196,9839,7,1
2741901,3583,21,0
310520,13517,21,1
2861537,43961,11,0
920634,26587,3,1
2966484,43621,5,1
778458,8993,12,1
724384,6184,5,1
3356686,41220,7,0
2315473,24964,8,0
913574,6348,22,1
1776456,40397,9,1
3045392,27470,13,1
1588292,30850,6,1
1511807,4163,7,1
2110510,23634,6,1
2195182,8329,7,0
1667567,5876,12,1
178021,36307,15,1
3251708,16797,6,1
628666,35045,2,0
3143195,10326,8,1
3108881,34289,4,0
1226963,16953,3,1
3397124,18095,3,1
1181678,6790,4,1
219922,16521,7,1
2727372,24838,3,1
1203223,12875,18,1
1258015,44661,4,1
951401,16283,10,0
1526805,38679,19,0
390509,18292,2,1
3288563,44765,3,1
2613434,21573,10,1
3393360,30450,14,0
2517277,48527,5,1
2956767,47766,8,0
2687771,45125,16,0
3030507,4471,21,1
512912,25931,7,1
2666366,38777,1,0
931566,32099,11,0
1221631,13629,4,1
245040,20512,1,1
2123833,27966,1,0
3391637,33810,20,0
283948,18090,4,1
1218457,26889,4,1
129966,19677,6,1
3279094,37276,13,0
1222606,39408,9,0
2166692,4562,5,0
565171,9839,2,1
2357740,29866,8,0
2128519,39928,9,1
1076003,663,3,1
3153220,12232,4,0
793816,37646,3,1
2335351,5236,1,1
1840173,14305,3,0
25941,34194,12,0
797495,22154,11,0
3125234,44042,6,0
3368076,21288,2,1
2662027,47877,1,1
1986025,46990,4,0
1616200,33081,1,0
2979179,32440,11,1
116297,47912,30,1
2104745,37687,6,1
3036125,23734,7,1
252998,27845,2,1
3404313,10246,7,1
2129128,17794,13,1
654706,22720,16,0
1432487,14114,2,1
2183526,19173,4,1
631273,42265,20,1
3164955,33569,18,0
1777992,11352,8,0
996139,16560,11,0
67961,4985,8,0
2760785,14364,15,1
1051665,16953,1,1
2488329,18531,13,0
2869026,21137,2,1
2029167,5884,7,1
3014392,13225,30,0
759969,6508,4,0
633023,21195,4,1
3109756,35951,6,1
2673813,40198,11,0
1457905,196,5,1
2408932,47626,12,0
2484274,33589,3,0
3364210,24160,6,1
2040221,43967,3,1
1767154,2229,10,0
280254,9839,12,1
2396101,500,1,0
1692819,34429,5,0
3111357,17902,7,1
1091733,34287,8,0
2466989,6765,1,1
3378210,5994,24,0
497929,5681,1,1
3243047,34254,14,1
1770042,43136,13,0
2755573,19734,8,0
2095024,49235,1,1
509999,21903,6,1
1221385,2079,1,1
1578390,38164,7,1
2815046,27012,11,1
2659807,44632,4,1
416285,10603,3,0
3387760,43352,2,1
1324795,28459,8,1
2526888,48066,15,1
3243897,33575,5,1
2692364,2716,3,1
2358149,46654,10,1
2509682,18243,11,1
1992433,20186,6,1
2783183,33065,2,1
2198268,39303,1,1
124816,432,25,1
1800367,32240,2,1
813083,49264,3,1
2409835,26209,16,0
2109187,2433,27,0
1967519,7131,6,1
799479,29033,1,0
2623404,23288,2,1
2381952,48745,13,1
2095639,26904,3,1
2688214,27845,2,1
1909162,36126,3,0
2524014,31562,11,1
473984,42551,11,0
2432358,34584,25,0
3101217,22115,5,1
2277137,4920,11,1
2120381,40310,9,1
1970903,31343,7,1
779198,22035,11,0
1739499,11586,19,1
1546443,32052,2,1
1742585,42342,5,1
1557277,48595,23,1
939818,45544,3,1
3221771,46667,3,1
592852,35921,4,0
1557852,36865,9,1
2239105,47717,5,1
2855786,39475,6,0
319809,45123,1,1
2316889,20195,1,0
787193,49531,5,0
3411016,24852,3,1
1047831,22395,4,1
337863,49086,22,1
2473193,24852,2,1
390369,29388,6,1
690658,6184,4,1
3114774,46149,7,1
867467,2846,12,1
534145,43352,1,1
1301522,3470,9,1
1646462,42423,2,1
2107551,24541,9,0
57741,300,1,0
2808917,41844,9,0
3386883,21903,6,1
361824,14060,10,0
2008160,3248,4,1
1265770,15551,15,1
2956247,35176,3,0
1450865,27845,8,0
2180083,47626,1,0
1647297,29993,3,1
530386,44176,16,0
2463088,46933,2,1
3189441,15290,4,0
3359948,38074,18,1
532654,24631,3,0
1391998,23427,10,0
2335196,4576,14,1
23978,46388,12,1
2417249,15772,7,1
