order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
342175,4072,prior,51,1,13,7.0
3070175,139353,prior,3,5,17,23.0
1954242,179675,prior,1,2,13,
1079359,95479,prior,17,6,11,17.0
2029521,95205,prior,19,4,18,8.0
1863203,8232,prior,49,6,10,6.0
2281710,194874,prior,29,5,18,6.0
2133929,18130,prior,22,1,8,6.0
149562,99381,prior,6,4,13,10.0
1595383,199282,prior,5,5,18,14.0
2216878,37122,prior,22,0,21,3.0
1850215,148472,prior,85,6,12,5.0
374362,133179,prior,2,4,13,2.0
1970858,14485,prior,1,1,13,
2678196,32186,prior,23,3,13,12.0
1304701,9436,prior,33,2,4,6.0
3175041,19066,prior,6,3,6,12.0
2043201,163019,prior,5,0,11,16.0
1475983,36428,prior,3,5,15,11.0
1153517,179646,prior,65,4,10,3.0
3066119,174224,prior,3,2,20,3.0
2837214,136105,prior,9,2,10,20.0
2093759,76412,prior,5,0,9,11.0
3352015,163098,prior,2,3,14,30.0
781474,139430,prior,28,1,9,7.0
2828238,110958,prior,5,4,19,9.0
2180272,188064,prior,6,6,14,30.0
1058539,95215,prior,10,3,13,5.0
2206978,197296,prior,1,2,23,
891303,165618,prior,9,1,15,10.0
2365832,193680,prior,3,2,22,27.0
3155974,179806,prior,1,1,19,
2986962,185903,prior,25,2,14,8.0
2998903,119260,prior,18,4,10,14.0
1958638,195707,prior,15,5,17,19.0
931188,125916,prior,21,2,10,8.0
2198025,189799,prior,9,4,16,30.0
116867,201618,prior,3,1,11,14.0
3043979,203047,prior,1,1,17,
1007635,99570,prior,14,3,14,2.0
356417,27965,prior,6,2,9,0.0
3334963,8438,prior,2,5,16,18.0
2869491,143400,prior,8,4,18,14.0
2359555,129654,prior,36,3,11,9.0
1241903,131493,prior,18,4,12,4.0
2894202,176808,prior,41,0,10,7.0
2887458,126390,prior,15,6,18,2.0
1685706,46001,prior,3,6,19,5.0
2382640,139621,prior,9,3,13,9.0
2013314,72726,prior,78,6,12,4.0
2439294,199329,prior,23,3,14,12.0
3180168,111214,prior,1,6,12,
1546243,26271,prior,7,5,13,14.0
2219937,37066,train,16,1,9,20.0
2088112,194063,prior,8,6,13,30.0
3170446,167869,prior,3,0,11,30.0
2530259,100304,prior,20,3,14,7.0
3356691,126878,prior,20,3,12,21.0
1939031,10563,prior,5,5,12,30.0
2342450,100635,prior,37,0,9,7.0
1349193,22261,prior,4,5,19,30.0
686693,62211,prior,32,4,16,6.0
3094667,110555,prior,14,0,17,14.0
630669,142289,prior,5,4,13,6.0
2757709,13330,prior,27,1,8,3.0
2186139,75939,prior,13,4,8,30.0
1932975,47655,train,5,6,18,11.0
1231123,161475,prior,2,1,17,15.0
61881,189449,prior,4,2,22,19.0
3249292,122366,prior,1,0,12,
3323155,16471,train,25,6,15,13.0
2645030,147233,prior,3,1,12,5.0
480363,159064,prior,1,3,11,
3079423,169045,prior,6,1,12,9.0
719232,92896,prior,8,0,16,2.0
2260635,173755,prior,3,4,14,5.0
1836158,56007,prior,14,1,12,2.0
928401,67654,prior,4,1,15,15.0
3219405,48143,prior,8,0,17,11.0
1384559,160651,prior,8,0,14,30.0
1139315,87310,prior,4,4,11,9.0
1079965,39803,prior,10,3,8,29.0
1936940,85150,prior,7,4,22,7.0
253019,51318,prior,15,3,15,15.0
2027638,97475,prior,37,0,9,30.0
835325,17588,prior,7,6,12,2.0
2749843,153742,prior,2,0,8,25.0
3077848,140075,train,12,0,10,15.0
51468,171136,prior,22,1,18,22.0
631228,161753,prior,40,4,12,8.0
1278382,76594,prior,96,2,8,6.0
2264458,154482,prior,31,2,19,9.0
1974233,12492,prior,10,0,11,7.0
2100573,191465,prior,5,6,13,4.0
3057645,202062,prior,19,0,16,0.0
1481428,17047,prior,6,2,11,30.0
2881933,185174,prior,55,1,9,6.0
3339999,205640,prior,12,0,18,4.0
1055073,86802,prior,26,6,11,4.0
1573050,152951,prior,5,1,18,4.0
761575,189688,prior,15,3,11,16.0
1258360,80412,prior,4,0,18,9.0
1534513,183268,prior,44,1,15,9.0
2534861,43721,prior,22,2,20,6.0
2558292,82001,prior,7,3,12,18.0
3289112,129890,prior,52,1,15,18.0
604073,191292,prior,5,1,8,7.0
1655257,83548,prior,44,6,11,14.0
851950,17615,prior,44,3,18,25.0
1506500,162731,prior,31,4,12,3.0
2968459,5950,prior,15,0,8,3.0
2708149,147782,prior,4,3,17,30.0
3107923,67381,prior,10,1,12,1.0
3307125,105982,prior,10,5,12,11.0
2822673,68367,prior,35,0,16,6.0
1201312,71404,prior,14,6,15,3.0
2237293,175029,prior,30,4,16,6.0
2139789,78589,prior,39,3,11,6.0
2804083,164016,prior,49,3,16,7.0
1763180,44226,prior,13,3,16,21.0
2373044,127246,prior,7,3,14,7.0
1574662,133781,prior,1,3,18,
1848388,181690,prior,38,4,17,2.0
109338,192217,prior,26,6,12,6.0
2844906,164904,prior,4,1,7,7.0
2758710,82270,prior,20,5,8,15.0
3097634,111624,prior,13,3,15,20.0
934014,56273,prior,3,3,9,16.0
1257953,73909,prior,7,6,21,6.0
2429249,156763,prior,1,2,18,
3409652,72010,prior,6,5,18,6.0
1507036,63527,prior,3,4,23,30.0
968287,87050,prior,25,5,9,5.0
1438581,125054,prior,17,5,22,7.0
728068,13317,prior,1,1,15,
1797957,136562,prior,19,0,0,8.0
1966771,79191,prior,10,1,15,6.0
1820335,180519,prior,3,0,13,26.0
11567,202530,prior,41,1,6,2.0
2125054,45380,test,10,3,20,11.0
2416004,71968,prior,1,0,14,
2577274,100476,prior,9,1,19,30.0
3294698,56478,prior,6,6,15,6.0
1772094,86096,prior,53,2,18,5.0
1722277,38793,prior,6,1,18,2.0
835878,92345,prior,37,2,16,8.0
809769,173876,prior,13,5,15,12.0
309220,105375,prior,34,1,16,30.0
2678119,59126,prior,5,6,18,3.0
3315830,170040,prior,6,0,12,5.0
3260608,128603,prior,1,1,13,
3226677,158641,prior,12,0,19,5.0
828801,204378,prior,37,0,13,1.0
844110,65243,prior,18,0,16,15.0
2353292,13927,prior,73,2,15,1.0
3236846,110512,prior,15,4,9,13.0
166046,27591,prior,13,0,12,5.0
3230339,63305,prior,36,1,7,5.0
1336997,63023,prior,61,4,18,1.0
694349,1162,prior,9,5,16,7.0
3402965,53645,prior,17,3,10,27.0
602279,96799,prior,26,5,12,8.0
1576182,193820,prior,13,1,11,11.0
1686790,55668,prior,51,5,16,3.0
2908950,32498,prior,8,0,18,7.0
710849,98079,prior,20,6,19,5.0
625133,88199,prior,47,5,15,5.0
1552547,85919,prior,14,5,13,1.0
755083,198308,prior,12,6,17,30.0
1318277,24881,prior,12,5,14,28.0
1742549,111156,prior,61,2,9,6.0
874280,93163,prior,16,2,15,18.0
54054,62122,prior,13,3,10,2.0
2403920,66427,prior,22,5,20,6.0
547535,39221,prior,60,3,17,4.0
1945639,60219,prior,39,1,16,3.0
2730679,102638,prior,12,1,18,14.0
3323679,120151,prior,2,2,12,6.0
789057,127108,prior,5,0,17,14.0
1285391,70162,prior,12,0,17,14.0
576261,34502,prior,1,5,16,
474900,154607,prior,31,4,12,4.0
3267554,2570,train,5,4,18,5.0
2894839,139839,prior,32,3,12,5.0
664520,112545,train,64,0,16,13.0
1534828,148245,prior,4,2,21,30.0
2153933,29837,prior,3,1,21,13.0
2714968,177377,prior,4,2,14,30.0
914250,13950,prior,1,5,15,
2530397,17435,prior,3,0,9,7.0
677851,67744,prior,2,4,19,30.0
2006799,192784,prior,29,1,10,11.0
1166524,76290,prior,12,3,20,5.0
3031775,53147,prior,5,2,16,3.0
2325480,143457,prior,58,3,14,3.0
2471795,155267,prior,4,2,14,9.0
83055,94041,prior,2,1,10,7.0
2556664,23588,prior,58,0,15,9.0
2595405,191621,prior,1,0,14,
1116487,196585,prior,16,5,13,8.0
1401786,46383,prior,1,1,14,
2858035,120837,prior,70,2,13,3.0
2022524,1037,prior,1,1,14,
153330,81043,prior,25,4,17,8.0
1098027,117482,prior,1,3,13,
2688312,80218,train,13,6,12,30.0
3255626,46381,train,4,2,18,7.0
3178525,160914,prior,4,0,15,7.0
1301417,23241,prior,26,0,20,7.0
3376489,85909,prior,13,4,10,4.0
2768543,161401,prior,45,2,19,3.0
2387330,148707,prior,4,3,10,30.0
2734781,180324,prior,52,3,9,3.0
1400032,92516,prior,10,5,12,4.0
3285234,171807,prior,54,4,21,1.0
1894744,9825,prior,7,2,15,4.0
597992,30229,prior,2,0,16,28.0
59800,170486,prior,8,5,22,7.0
1328447,205050,prior,15,3,15,12.0
2575738,183101,prior,38,0,11,0.0
1444632,29659,prior,23,1,8,10.0
2459808,139677,train,4,0,22,20.0
1486456,20824,prior,33,1,13,4.0
647248,142131,prior,39,1,15,15.0
1780409,16581,prior,20,3,4,8.0
1408172,89393,prior,5,3,10,19.0
2330383,119515,prior,21,0,12,3.0
2291250,185694,prior,13,2,10,2.0
1818248,178989,prior,29,4,11,0.0
1099972,148116,prior,9,0,22,8.0
2948047,114975,train,29,2,7,30.0
596502,38565,prior,7,2,18,3.0
2002886,74601,prior,17,0,9,8.0
2149973,87944,prior,27,6,12,15.0
901891,14553,prior,37,1,10,7.0
978264,197475,prior,26,2,17,22.0
1272753,140478,prior,11,0,9,0.0
1450821,187305,prior,7,2,9,0.0
2043684,167720,prior,7,6,13,6.0
2473277,197674,prior,19,2,16,14.0
1648207,184707,prior,4,2,14,7.0
2998134,26350,train,4,4,10,30.0
1120441,4076,prior,47,3,21,12.0
20630,63586,prior,12,2,9,7.0
2765267,2814,prior,7,6,12,30.0
538319,99695,prior,5,4,19,23.0
2197436,134570,prior,7,0,14,7.0
157159,58439,train,10,4,14,7.0
814645,8984,prior,11,2,8,13.0
612220,120862,prior,6,6,10,19.0
1973899,181052,prior,4,0,2,6.0
1596729,121452,prior,9,4,13,30.0
658385,87809,prior,17,5,11,4.0
1271280,14183,prior,14,3,16,21.0
695160,164056,prior,32,6,19,7.0
3138447,11983,prior,6,2,0,9.0
484974,70054,prior,12,5,18,4.0
1675455,71617,prior,38,0,10,7.0
2475236,107839,prior,1,5,11,
2628848,20485,prior,45,3,9,6.0
713252,81536,prior,11,1,20,2.0
862010,158586,prior,17,4,9,4.0
219876,52246,prior,4,0,21,21.0
1922821,144542,prior,59,0,18,2.0
2212862,27726,train,12,0,13,19.0
1077753,164581,prior,16,5,11,13.0
2495341,108794,prior,33,3,16,0.0
1778469,35298,prior,4,1,16,30.0
349429,82066,prior,10,5,15,7.0
611854,34197,prior,22,5,15,5.0
187861,48749,prior,2,6,21,6.0
2510606,22053,prior,18,0,20,7.0
2837543,12640,prior,3,1,9,23.0
2689905,89703,prior,18,4,13,11.0
1474891,59940,prior,14,3,12,5.0
1199794,173093,prior,10,1,13,2.0
1698032,61364,prior,21,4,15,7.0
2573645,59200,prior,16,1,5,6.0
149832,94493,prior,7,2,11,6.0
2867220,50506,prior,13,0,11,4.0
2854866,27932,prior,4,0,19,14.0
3103123,122263,prior,15,4,14,3.0
233213,204709,prior,55,1,12,4.0
1990830,139721,prior,32,2,12,3.0
1566947,123970,prior,5,2,8,5.0
2777507,34955,prior,14,2,12,0.0
629517,2951,prior,40,1,18,7.0
2767642,29738,prior,32,2,20,8.0
13939,39825,prior,19,5,4,8.0
2957122,44940,prior,2,2,9,18.0
67969,153951,prior,16,5,18,1.0
2217471,64180,prior,14,0,16,26.0
498323,150559,prior,17,1,8,30.0
787827,163139,prior,18,5,21,3.0
523345,78591,prior,1,4,8,
1911089,101281,prior,5,2,8,3.0
3153344,166323,prior,27,6,8,7.0
410422,97894,prior,9,1,13,5.0
1611151,21582,prior,59,0,10,5.0
1458076,134780,prior,2,0,12,30.0
3099238,69508,prior,19,3,17,7.0
742599,111467,prior,52,1,14,3.0
2440896,202454,prior,10,3,19,12.0
1141029,151174,prior,19,0,15,11.0
3301613,113647,prior,5,4,13,9.0
2263807,66630,prior,11,1,10,18.0
1509649,172151,prior,3,3,10,3.0
226998,107308,prior,1,2,17,
2969453,43295,prior,27,3,17,8.0
3167456,200320,train,25,2,12,7.0
271171,89605,prior,19,6,19,13.0
126534,44775,prior,32,0,14,8.0
